This file was created by CMPT_IND_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for 17 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
192607,   0.48,   3.78,  -1.41,   6.02,  -1.62,   8.46,   1.42,   2.31,   4.07,   8.77,   3.79,  17.43,   1.83,   7.04,   0.13,  -0.02,   1.22
192608,   2.91,   0.69,   3.60,   0.15,  -1.96,   5.70,   5.84,   4.33,   2.17,  -5.56,   2.35,   3.96,   4.54,  -1.69,  -0.68,   4.47,   3.11
192609,   1.20,   1.10,  -3.68,   0.26,   0.24,   5.48,   1.21,  -0.06,   0.15,  -4.13,  -0.65,   5.57,   0.32,   2.04,   0.21,  -1.61,   1.82
192610,  -3.06,  -0.79,  -1.02,   0.37,  -6.07,  -4.76,   0.69,  -4.79,  -3.85,  -5.13,  -3.29,  -8.29,  -2.90,  -2.63,  -2.26,  -5.51,  -0.88
192611,   6.37,   4.38,  -0.01,   2.22,  -1.95,   5.27,   4.63,   2.45,   3.86,   3.57,   4.54,  -0.28,   2.19,   3.71,   6.44,   2.34,   1.38
192612,  -0.57,   1.66,   2.92,   2.17,   3.79,   5.20,   2.27,   4.30,   3.75,  -3.85,   1.29,  10.80,   3.56,  -0.17,   0.61,   2.60,   1.82
192701,  -0.82,   1.00,   1.71,  -1.18,   4.66,   0.40,   0.34,  -2.78,  -0.39,  -2.29,  -0.58,  -1.09,   1.22,  -1.79,  -2.53,  -2.04,   1.77
192702,   4.56,   5.38,   0.98,   4.15,   2.29,   9.77,   1.60,   4.57,   3.67,   6.11,   5.34,   9.55,   5.12,   4.53,   3.61,   2.71,   4.32
192703,   1.81,   4.86,  -7.00,  -0.93,  -2.48,   6.00,   4.86,   3.91,   1.48,  -9.00,   0.66,   1.75,   0.76,   0.37,  -0.39,   0.92,   3.62
192704,   2.73,   2.14,  -5.81,   4.42,   2.31,   3.09,   3.76,  -0.71,  -0.34,   5.14,   4.98,   3.11,   0.58,   1.71,   4.47,   2.45,  -1.90
192705,   6.21,   1.49,   4.97,   6.00,   8.34,   4.00,  10.85,   5.90,   3.22,   6.38,   7.73,   5.91,   7.42,   9.21,   2.34,  10.03,   3.50
192706,  -2.03,  -2.54,  -3.13,   1.49,  -3.52,  -1.84,  -2.08,  -4.53,  -3.42,   6.41,   1.64,  -2.95,  -2.20,  -3.57,  -0.61,  -0.06,  -2.48
192707,   5.03,   6.06,   2.90,   5.47,   5.93,  17.87,   4.87,   6.74,  10.33,  10.83,  11.85,  13.72,   6.55,   5.31,   9.88,   6.50,   4.52
192708,   2.23,   1.54,  -0.28,   1.22,   0.75,   2.14,   3.47,  -0.73,   3.97,   2.67,   4.21,   7.42,  -1.08,   3.43,   7.38,   1.81,   1.73
192709,   6.05,   4.70,   3.43,   3.77,   2.85,   5.88,   4.50,   5.86,   3.77,  -0.04,   2.08,   5.95,   4.25,   8.29,   7.54,   5.98,   6.57
192710,  -2.43,  -4.00,  -1.85,   5.89,  -5.34,  -7.53,   0.68,  -4.85,  -7.82,  -0.91,  -7.33,  -4.31,  -4.83,  -4.34,  -4.91,   4.01,  -1.59
192711,   7.22,   7.95,   3.81,   3.73,   0.31,   8.89,   6.44,   5.90,  12.44,  15.23,  10.48,   6.55,   4.36,   6.32,  11.75,   7.92,   5.27
192712,   3.68,   7.09,   1.30,   1.27,  10.41,  -0.21,   0.99,   0.32,   5.84,   3.02,   2.21,   7.79,   0.36,   2.24,  -0.70,  11.17,   0.83
192801,   2.50,  -2.39,  -1.80,   2.48,  -1.34,  -1.33,  -1.34,   2.49,  -2.42,   2.48,  -1.03,  -3.40,  -0.64,   5.87,  -0.88,   1.48,   0.76
192802,  -2.99,  -5.49,  -0.09,  -3.71,  -3.72,   0.97,  -4.88,   0.92,  -2.72,   0.64,  -1.09,   1.60,  -1.76,  -0.68,  -1.09,  -2.90,  -1.21
192803,   5.27,   6.61,   5.36,   5.94,  16.75,  13.32,   3.00,   6.60,   6.16,  12.21,  12.80,  28.63,   5.81,   6.62,   8.50,   9.56,   6.42
192804,   2.73,   0.31,  16.39,   2.33,   1.41,  -0.31,  -4.70,   2.05,   1.43,   0.90,   2.98,   1.21,   4.21,  10.94,  -0.02,   9.19,   3.34
192805,   1.67,   0.92,  -5.69,  -3.61,  -0.79,   3.16,   0.82,  -1.29,   5.52,   7.82,   1.46,   6.16,  -0.58,   1.51,   3.81,   2.06,   6.26
192806,  -3.94,  -4.45,  -3.83,  -8.87, -11.33,  -2.93,  -3.89,  -3.69,  -5.84,  -5.75,  -3.79,  -3.58,  -4.09,  -3.43,  -3.38,  -9.96,  -6.70
192807,   1.05,  -1.08,   1.21,  -1.77,  -0.94,   1.91,   3.52,   1.78,   2.74,   6.21,   0.95,   1.08,  -0.47,  -1.24,   5.50,   0.33,  -0.88
192808,   7.93,   6.21,   2.43,   1.11,   8.45,   8.91,   6.10,   4.54,   9.63,  16.23,   8.21,   8.93,   4.23,   6.46,  13.64,   5.16,   6.98
192809,   1.72,   1.76,   5.82,   1.40,   5.73,   3.84,   0.30,   5.17,   5.58,  -2.17,   1.86,   8.30,   0.24,   3.76,   0.16,   1.83,   0.94
192810,  -0.39,   1.93,   2.40,   1.69,   8.63,   5.48,   2.91,   5.11,   6.51,  -0.97,   1.44,  -0.15,  -1.31,  -1.89,   5.84,   2.61,   2.18
192811,   6.60,  12.53,  17.96,   6.31,  12.19,  12.36,   7.68,   9.60,  14.90,   5.06,  16.01,   4.26,   9.37,  21.93,  15.34,   9.94,  10.96
192812,   0.48,   1.22,  -4.57,  -3.62,  -3.64,   2.32,  -1.80,   1.39,   3.84,   1.61,   7.21,  -0.92,   0.33,   1.57,  -1.29,   1.06,   0.47
192901,   3.60,   6.70,  -8.10,  -1.50,   8.56,  23.10,   3.66,   8.46,   7.78,   3.47,  12.19,   1.01,   4.33,  13.17,  -3.86,   8.12,   9.55
192902,  -1.71,   6.49,  -0.14,  -0.36,  -5.97,  -0.24,  -4.30,  -3.39,   8.83,   7.31,  -1.24,   0.32,  -1.21,  -1.99,  -2.42,   0.83,   0.47
192903,  -4.67,   1.53,  12.22,  -6.48,  -7.77,  -3.52,  -4.17,  -5.76,  -0.07,   1.76,  -2.38,  -1.57,  -2.48,  -3.17,  -5.09,  -1.15,   6.15
192904,   3.86,  -5.00,   0.81,   3.10,   0.32,   3.87,  -1.58,   3.47,   1.15,  10.99,   3.51,  -0.88,   1.15,   5.13,   3.76,   0.51,   1.02
192905,  -5.22,  -9.58,  -5.62, -10.85, -10.25,  -7.06,  -2.23,  -6.92, -12.41,  -6.47,  -0.24, -15.24,   1.40,   4.80,  -8.66,  -3.23,  -9.27
192906,   8.18,   2.37,   1.02,   3.85,  16.79,  20.07,   1.04,   8.04,  10.71,  12.66,  17.88,   6.64,   6.45,  23.47,   9.54,   6.30,  12.24
192907,   4.81,   2.51,  -0.92,  -3.80,   8.47,   5.31,   2.04,   3.89,   3.47,   4.67,   9.68,  -3.68,   7.83,   9.14,   1.09,   8.36,   7.19
192908,   4.30,   7.93,  11.80,   0.54,   7.24,  11.95,   6.24,   2.98,  11.82,   9.76,  10.02,   2.68,   7.48,   9.05,   8.04,   5.82,  10.26
192909,  -2.29,  -4.14,  -3.00,  -3.59,   6.84,  -7.03,  -6.26,  -2.43,  -8.96,  -5.16,  -5.92,  -9.29,  -7.88,   1.32,  -5.54,  -5.75,  -3.20
192910, -14.87, -11.43, -10.19, -16.64, -33.40, -24.89,  -4.82, -15.95, -15.50, -21.61, -25.16, -28.40,  -9.69, -30.04, -23.98, -28.84, -18.67
192911,  -9.58, -12.20,  -6.47, -13.45, -12.55, -16.22,  -7.48, -10.30, -13.83, -16.07, -16.21, -17.58,  -8.14, -14.64, -12.40, -13.88, -12.78
192912,  -0.08,  -2.82,  -0.88,  -1.88,   3.90,   6.63,   1.93,  -1.36,  -0.45,   5.55,   8.04,   5.03,   0.33,   7.94,  -6.12,  -0.40,   0.69
193001,   4.75,   4.38,  -0.90,   7.33,   3.52,   8.03,   8.15,   7.16,   5.69,   8.57,  13.34,   5.64,   3.71,   7.25,   4.70,   9.74,   1.51
193002,   0.00,   0.57,  -5.12,   2.99,  -8.23,   2.36,   4.07,   0.49,   0.09,  10.37,   6.34,   3.35,   2.53,   8.57,  -5.12,   5.85,   8.78
193003,   0.83,   1.55,  19.09,   1.72,  -0.18,  10.65,   4.40,   2.98,   5.54,   6.73,   7.21,  12.12,   4.12,   9.72,  -2.40,   8.74,   9.37
193004,   2.97, -12.06,   7.53,  -5.85,  -6.98,  -5.13,  -1.81,  -5.51, -13.38,  -4.01,   1.88,  -7.92,  -7.07,   3.34,   2.58,  -4.08,  -2.01
193005,   1.83,   3.19,  -3.82,  -5.01,  -9.41,  -2.24,   1.09,  -1.62,   0.19,   0.42,  -3.42,   4.97,  -1.04,  -1.33,  -0.02,  -5.71,  -2.25
193006, -11.82,  -9.07, -15.60, -15.41, -26.45, -17.70, -10.16, -18.92, -13.23, -17.06, -17.58, -22.01, -10.70, -19.06, -16.13, -21.44, -14.13
193007,   3.21,   2.17,   5.49,   3.84,   2.72,   5.57,   4.21,   7.30,   3.41,   8.80,   2.67,  12.63,   3.42,   4.06,   2.78,   4.42,   2.99
193008,   1.72,  -8.91,  -3.48,  -2.47,  -6.64,   4.53,   4.35,  -3.02,  -2.46,   0.19,   3.07,  -1.79,   0.32,   1.18,   5.25,   1.26,   0.31
193009, -10.06,  -8.20, -15.93,  -6.16, -19.98, -14.21,  -8.89, -15.87, -11.84, -11.32, -15.77, -16.45,  -9.38, -11.92, -10.94, -18.09, -10.78
193010,  -4.84, -10.79,  -8.10,  -4.79,  -8.40, -12.45,  -4.61, -13.92,  -8.95,  -4.83, -14.60, -11.52,  -7.25,  -8.28,  -8.66, -15.34,  -7.13
193011,   1.07,   0.21,  -3.42,  -0.08,   1.33,   0.17,  -1.43,  -3.00,  -1.30,   1.36,  -1.93,   5.38,  -4.58,  -8.74,   2.74,  -8.32,  -3.63
193012,  -4.89,  -8.42, -12.48,  -7.12, -12.24,  -4.65,  -4.10, -12.48,  -8.76,  -4.73,  -8.55,  -0.69,  -8.59,  -3.69, -13.63, -12.42,  -7.41
193101,   5.55,   8.96,   4.62,   3.37,  10.61,  -0.91,   7.09,   6.10,   3.01,   2.87,   3.03,   7.73,  11.55,   5.53,   7.22,  18.59,   7.41
193102,   7.17,   9.85,   5.98,   6.53,  12.86,  13.67,   6.70,  14.72,  14.35,  12.82,  15.95,  17.25,   3.17,  15.27,  15.15,  17.06,   9.99
193103,  -2.88,  -8.17, -14.33,  -0.07,  -8.63,  -7.26,  -0.37,  -5.92,  -7.34,  -1.35,  -7.90,  -3.89, -10.19,  -2.94,  -3.34,  -8.48,  -4.16
193104,  -8.61, -12.05, -13.53,  -9.41, -13.90, -12.93,   0.50, -13.96, -17.27,  -7.07, -12.04,  -7.52,  -8.25,  -9.04,  -4.82, -15.19,  -9.21
193105, -12.19, -11.22, -12.06,  -2.58, -11.03, -11.81, -10.76, -16.30, -20.72, -15.67, -14.85, -16.17, -17.11, -11.15,  -3.03, -18.93, -11.23
193106,  10.55,  10.66,  17.22,  10.74,   9.30,  19.15,  11.15,  16.21,  19.38,  14.89,  14.58,  14.57,  16.59,  11.00,   7.92,  23.38,  13.38
193107,  -4.06, -10.10,  -2.88,  -3.97,  -8.86,  -6.22,  -2.03, -10.10, -15.15, -13.20,  -9.87,  -2.19, -10.33,  -5.39,  -1.41,  -8.72,  -6.12
193108,   1.57,   1.34,  10.11,  -1.65,  -1.38,   1.39,  -2.50,  -2.75,   0.56,   0.01,   1.39,  -2.85,  -6.41,  -1.74,   3.06,   0.38,   1.72
193109, -28.34, -31.39, -29.71, -12.11, -31.23, -30.56, -26.05, -31.54, -27.14, -22.91, -32.71, -34.86, -21.77, -33.05, -30.32, -39.89, -25.27
193110,  10.80,  14.78,  14.39,  -1.14,  11.19,   4.55,   8.76,   7.73,   2.07,   9.84,  11.24,  12.91,  -1.53,  10.48,  14.11,  11.97,   4.60
193111,  -3.12, -15.78,  -8.37,  -3.62,  -6.08,  -5.06,  -5.85,  -9.39, -10.10, -10.34,  -9.26,  -3.34, -20.42,  -4.77,  -9.28, -11.10, -10.74
193112, -10.27, -14.96, -18.80, -12.35, -25.27,  -6.25,  -6.45, -16.11, -25.59, -13.26, -12.80,  -8.50, -15.08, -13.24, -15.12, -20.97, -10.59
193201,  -1.55,   2.32,  -5.21,   3.75,   2.18,  -5.92,   4.97,  -2.06,   3.36,   0.52, -10.92,  -7.37,   8.47,  -2.52,   0.80,   3.84,  -2.58
193202,   7.57,  -2.18,   9.20,   1.52,   9.31,   9.05,   3.19,  11.68,   5.03,   9.91,   2.17,   1.81,  -3.40,   7.04,   4.12,  13.57,  11.06
193203,  -7.12,  -8.15,  -0.59,  -2.79, -14.23, -11.81,  -7.52, -13.79, -16.69,  -8.55, -11.17, -22.45, -18.04,  -9.57,  -8.86, -15.18, -12.05
193204, -12.97, -14.92, -13.82,  -6.72, -21.52, -33.38, -10.67, -17.36, -19.58, -29.75, -23.09, -29.80, -23.75, -15.50, -15.72, -19.22, -13.43
193205, -22.95, -12.99,  -5.06,  -8.47, -36.74, -10.52, -22.85, -16.68, -22.96, -13.95, -25.42, -18.28, -32.50, -26.82, -29.26, -30.34, -13.85
193206,  -0.06,  -9.11,   6.15,  -5.00,   3.67,  -4.98,   1.49,   0.87,   2.09,  -2.24,   2.63,  -8.22,  -1.07,   1.45,  -0.68,   6.28,  -7.97
193207,  30.43,  47.47,  34.69,  -9.53,  42.08,  29.38,  27.03,  34.52,  62.13,  23.17,  39.84,  45.24,  58.51,  29.35,  27.26,  51.98,  21.55
193208,  24.36,  47.03,  17.22,  37.27,  71.32,  36.17,  20.67,  38.88,  59.10,  40.25,  44.66,  44.59,  62.17,  43.46,  32.74,  59.10,  33.37
193209,  -1.34,  -5.58, -10.35,  -3.30,  -6.86,   6.07,  -1.40,   1.98, -10.02,  -0.90,  -6.93,   9.12,  -0.77,  -4.65,   2.94,  -6.85,  -0.95
193210,  -9.47, -11.04,  -2.95, -10.18, -25.17, -16.04, -13.67, -16.70, -15.78,  -4.39, -18.06, -24.87, -19.88, -10.82, -12.58, -17.08, -11.21
193211,  -6.59,  -3.16,  -4.02,  -6.01,  -8.38,  -1.75,  -6.18,  -5.77, -22.55,  -2.59,  -6.87,  -2.49,  -9.17,  -3.60,  -5.58,  -3.39,  -2.51
